type,arrival time,process_time0,process_time1,process_time2,process_time3,process_time4,process_time5,process_time6,process_time7,process_time8,process_time9,process_time10,process_time11,process_time12,process_time13,process_time14,process_time15,process_time16,process_time17,process_time18,process_time19,due dates
63.0,1.0,51.964039223298926,52.01691427031706,49.54336493306506,51.14062503608544,49.71319512243257,53.933059903174836,50.756673406306916,53.09729561201133,49.80790264020391,54.15191287847618,51.62135423013751,48.01711113533718,50.75634567852271,49.46101085901966,53.414245606067645,50.30050298555163,49.50376047701359,51.7061461415258,50.350409239225826,52.92780104030749,128.5
141.0,3.0,95.72345234606816,97.09627427133294,99.71199444138108,100.00652838046705,98.77617314321567,98.60824766106074,98.54802209906548,96.31667554482064,97.59938468707053,93.89757051935956,94.54928692953453,97.77864829432096,98.69321598368096,95.86754744201646,93.68073943782153,97.71534863074685,99.21820868765518,99.86825182979354,97.35906897338006,99.39030631716531,245.5
113.0,8.0,84.91798918551486,82.5212691610102,82.51680203020008,84.66943105539858,85.01207773559779,82.97639609354157,84.65704349598862,87.33538426318228,82.45817465852912,84.8828180556574,83.87637342812901,85.8380832544557,84.32652424621465,85.18259355310798,82.05268407715668,80.29381541570982,84.07832582059348,85.11911526556834,86.18381896618016,88.1088277391541,218.0
160.0,13.0,86.75055792213487,89.89295684787619,84.96298370185853,87.08350537435761,86.76312786694697,84.32502943972182,86.25163126353009,86.58719814129084,82.89481088238932,85.92096863032423,82.95495379004667,85.13311736872913,88.68677546160993,90.79416321122133,87.84275908833163,84.6058685802411,88.66922941519023,83.36175836065644,88.29740885876072,82.31978653099053,228.0
19.0,14.0,37.0950958557321,41.627186686731655,40.146333880459444,39.62920444927183,38.64085970312159,37.45668957714921,41.426819180603644,39.70127349036261,40.60775026361391,41.108435975374896,38.72090040875091,41.80208428342262,38.17855916577957,41.42516282715752,38.07011373762924,38.86506967646412,40.38736361243144,39.49234578309618,37.39956084295563,40.05247594574399,114.0
33.0,14.0,67.94126917447855,68.07526893589171,67.50603707867594,64.25109522203451,61.856739052983386,65.27105028646068,66.87436546412496,63.24574972895047,62.4372855563977,59.9849221558236,65.36885905883267,64.35742186764635,66.43629509788171,68.4728399403358,63.90346759285673,64.0223247797162,68.7763178610718,63.88131763247415,66.4260481550345,65.05389481539436,176.5
114.0,18.0,38.03318371627206,35.33924325006777,35.327654203108914,36.48733657110459,38.38384141832654,39.498028084985464,34.89130292481337,35.44381574217629,38.41258392205705,31.078690404806444,38.98241654253058,34.14091098299722,38.596751012220736,36.468781567661075,34.113838183442354,38.26694875136676,36.21957766046256,40.01177585263494,33.32765170804887,34.92005417955068,108.0
16.0,18.0,27.568942324914076,31.089923288184462,28.139261261958108,28.200287782852666,31.609356034551368,29.94392748968901,28.99953406588548,29.666868374216,32.75552661983233,27.765164519738374,28.04190879852274,34.82691013889932,29.45787198356189,27.73341022555375,31.513300351990917,27.17661229603466,30.757209160983876,29.777472104828203,32.18688376011162,29.35373095516883,93.0
137.0,19.0,43.621959443918534,40.62234733608398,40.058706829830065,46.803125331260425,47.38878975464326,46.73285443172418,40.56543928828649,44.54472273292415,43.702911982527176,46.6870462273709,43.75027369832641,44.53086181015872,45.5418379529184,42.8246866948239,46.42994528763871,41.508144324534705,45.30446002201875,43.34982203158468,46.276841601641344,50.23893910345154,129.0
120.0,21.0,12.932034006085189,15.799321565379367,15.37849870726285,12.29851574542862,13.639239410797137,14.118487941344272,12.827067970501822,12.437523523886725,10.730491971902799,13.958095718478607,15.793337325429139,15.816626312301622,13.657029775700588,11.7280339969269,10.555094000273474,14.165826468006603,13.737832128385886,13.402944459104656,12.957986499905227,12.792162967032972,53.5
83.0,28.0,32.28282072115918,33.287390972719734,30.660467394432622,38.025172695242965,33.80833869283064,36.33376619103944,33.932719217109074,33.04592694862713,33.93858531402343,32.916389848425844,31.488758984908944,32.48182137466614,30.981095601998447,32.52461954385014,33.430266561047794,35.088321088087916,31.469628404078357,33.054465391894496,34.04897581683664,35.57618503491526,113.0
7.0,30.0,38.02103575899007,32.9546004671854,34.39099230277215,32.701334338417965,29.587338401555495,32.276142208809596,31.64130292061302,29.899101980900927,34.39997228004707,32.0225308148539,32.48243732227637,32.147235167164354,34.65654009565178,32.6222190415309,37.39549043391486,32.17566986474857,33.10267748572836,32.643471555829045,31.223181072291357,36.05788659150546,112.5
157.0,34.0,77.39442236951966,74.31618147103435,75.12413838918435,74.53390177780747,76.50398692437805,75.72604516694632,74.16022341740882,75.27397419645612,78.26906149389869,73.77832895089924,79.3696882926507,74.86346256792126,78.59676086435043,73.50232066005849,75.24284583706806,74.8347996535371,72.67209368638692,70.95203310573606,74.2314866138018,73.63426667322045,221.5
99.0,34.0,84.09845828490486,86.67530053799408,86.32076698530958,82.61216747605792,87.96843614191124,84.75530617624344,84.93027969834598,85.18117941844544,83.0558841553851,86.26240604011825,83.11303970283485,84.1820313090217,82.74739779755639,84.08764130616929,82.72204669559687,84.38851233033878,83.25968010836438,87.64837911543984,85.08408432204824,86.77703803653822,244.0
30.0,37.0,13.960712395823313,13.473230052288049,16.617765206394164,15.82634879160726,13.900621324621607,21.178716987389564,16.04283791589716,14.844501839642758,17.128928892817672,16.1325630714431,17.325840226947438,19.463311972451322,16.56489152117596,15.929208249539045,16.515789337685433,18.91735145914292,15.530549484448091,15.335459871393786,13.884176919704608,10.740329336082677,79.5
98.0,38.0,19.52226145426253,16.610378058091953,16.509857942249283,20.46438971579359,21.42433288068623,15.48946970973858,19.949439331553243,20.09734176888957,20.149586770198155,19.40039912821453,18.200704325828465,18.584981442180762,17.025435778951582,17.64810232694793,22.179418403243673,20.17892541093894,17.166882540394493,16.494851507173127,17.455169266026388,18.22761557034418,85.5
138.0,39.0,29.725927263123346,23.941892662710984,25.145141338023205,23.903013503189435,25.46703922422677,29.187773296259444,26.74054142785689,28.981603319849516,29.6700272026653,22.608753127196273,30.06078512041063,29.63806636368239,29.01886880384087,27.611669052165276,25.917164613740223,31.389147463363695,25.074636493692072,25.80514278415817,27.13881799955269,28.569996452531576,109.0
112.0,47.0,85.30012279631478,87.33995094597844,87.96041535418982,91.93218530297051,90.20927946840992,83.75857370178427,81.38387138989108,84.21905770002496,84.61446250124081,87.01705910851393,86.01212955198177,86.81984104258393,86.13900222848703,89.9087928202162,88.45465988760432,87.2440986338982,80.5314680289398,86.4007359162973,84.75139480085787,85.49978694302706,262.0
44.0,48.0,52.59946318950169,48.69847106682809,55.006598146616774,52.87627702925873,47.511482992385986,52.7928609744454,47.222253880442516,53.53173021597526,53.497556975379936,50.07435335425045,55.4465493975525,53.95278820696292,50.9829361393283,54.93890727970413,54.51751280520203,51.93693356745396,54.746467609941455,52.71130477575011,53.89909454002264,52.74981913066159,180.5
93.0,50.0,91.27891641387818,88.16021788298062,90.89738517631858,89.53139014427612,89.85881508837944,91.70704499896145,92.41445905083759,87.47924460600106,89.27412163310734,94.36669070738245,90.7058246217162,89.04637887542218,95.78073871551824,89.88264151699677,87.78349912619458,88.36616058400392,89.98896188789845,87.26037939501529,88.38481316454673,87.9299182855341,275.0
64.0,53.0,78.52535650797233,77.22076025836843,75.66403414756742,74.94323680910863,79.3433018648568,78.2393431471956,76.89662415884017,75.15093503536364,77.96017863884633,76.79405689370122,76.52558689068636,78.54221032984867,73.48445232024456,78.04859145976228,77.16486139388844,76.82265434970914,75.31276267535779,80.9955621418918,77.42259580554047,74.32756420285826,245.5
105.0,55.0,72.50393497132106,73.84741144034106,73.68300000895411,71.08027773637822,70.69413990541008,75.55623947364555,69.42689249801634,72.4004727881037,75.66345343118309,73.09309434654746,75.50247214837808,75.54423828428577,73.05511231659766,75.43981766695526,73.21999392494145,75.30898704487164,76.02054073658564,73.15481823048692,75.9891388503247,75.7002447517336,240.0
